Date;c25;sp500;dax
13-01-2023;1.721,57;3999,090088;15086,51953
12-01-2023;1.722,96;3983,169922;15058,29981
11-01-2023;1.717,19;3969,610107;14947,91016
10-01-2023;1.715,03;3919,25;14774,59961
09-01-2023;1.740,57;3892,090088;14792,83008
06-01-2023;1.725,94;3895,080078;14610,01953
05-01-2023;1.717,85;3808,100098;14436,30957
04-01-2023;1.728,60;3852,969971;14490,78027
03-01-2023;1.742,48;3824,139893;14181,66992
30-12-2022;1.700,56;3839,5;13923,58984
29-12-2022;1.712,84;3849,280029;14071,71973
28-12-2022;1.695,21;3783,219971;13925,59961
27-12-2022;1.701,63;3829,25;13995,09961
23-12-2022;1.695,20;3844,820068;13940,92969
22-12-2022;1.684,63;3822,389893;13914,07031
21-12-2022;1.686,83;3878,439941;14097,82031
20-12-2022;1.671,16;3821,620117;13884,66016
19-12-2022;1.678,90;3817,659912;13942,87012
16-12-2022;1.676,26;3852,360107;13893,07031
15-12-2022;1.706,58;3895,75;13986,23047
14-12-2022;1.735,36;3995,320068;14460,2002
13-12-2022;1.727,16;4019,649902;14497,88965
12-12-2022;1.704,08;3990,560059;14306,62988
09-12-2022;1.720,07;3934,379883;14370,71973
08-12-2022;1.694,71;3963,51001;14264,55957
07-12-2022;1.698,00;3933,919922;14261,19043
06-12-2022;1.703,70;3941,26001;14343,19043
05-12-2022;1.718,97;3998,840088;14447,61035
02-12-2022;1.717,88;4071,699951;14529,38965
01-12-2022;1.713,25;4076,570068;14490,29981
30-11-2022;1.686,61;4080,110107;14397,04004
29-11-2022;1.672,09;3957,629883;14355,4502
28-11-2022;1.673,42;3963,939941;14383,36035
25-11-2022;1.678,31;4026,120117;14541,37988
23-11-2022;1.658,51;4027,26001;14427,58984
22-11-2022;1.651,20;4003,580078;14422,34961
21-11-2022;1.642,57;3949,939941;14379,92969
18-11-2022;1.647,20;3965,340088;14431,86035
17-11-2022;1.639,75;3946,560059;14266,37988
16-11-2022;1.642,21;3958,790039;14234,03027
15-11-2022;1.667,31;3991,72998;14378,50977
14-11-2022;1.667,41;3957,25;14313,29981
11-11-2022;1.667,21;3992,929932;14224,86035
10-11-2022;1.689,65;3956,370117;14146,08984
09-11-2022;1.627,50;3748,570068;13666,32031
08-11-2022;1.635,73;3828,110107;13688,75
07-11-2022;1.604,96;3806,800049;13533,51953
04-11-2022;1.581,65;3770,550049;13459,84961
03-11-2022;1.577,02;3719,889893;13130,19043
02-11-2022;1.583,49;3759,689941;13256,74023
01-11-2022;1.573,03;3856,100098;13338,74023
31-10-2022;1.574,67;3871,97998;13253,74023
28-10-2022;1.566,73;3901,060059;13243,33008
27-10-2022;1.565,07;3807,300049;13211,23047
26-10-2022;1.569,76;3830,600098;13195,80957
25-10-2022;1.548,29;3859,110107;13052,95996
24-10-2022;1.522,47;3797,340088;12931,4502
21-10-2022;1.490,34;3752,75;12730,90039
20-10-2022;1.507,49;3665,780029;12767,41016
19-10-2022;1.508,06;3695,159912;12741,41016
18-10-2022;1.536,82;3719,97998;12765,61035
17-10-2022;1.505,96;3677,949951;12649,03027
14-10-2022;1.493,37;3583,070068;12437,80957
13-10-2022;1.455,49;3669,909912;12355,58008
12-10-2022;1.466,15;3577,030029;12172,25977
11-10-2022;1.450,04;3588,840088;12220,25
10-10-2022;1.453,46;3612,389893;12272,94043
07-10-2022;1.455,46;3639,659912;12273
06-10-2022;1.487,40;3744,52002;12470,78027
05-10-2022;1.477,26;3783,280029;12517,17969
04-10-2022;1.503,92;3790,929932;12670,48047
03-10-2022;1.461,43;3678,429932;12209,48047
30-09-2022;1.439,09;3585,620117;12114,36035
29-09-2022;1.419,34;3640,469971;11975,54981
28-09-2022;1.461,33;3719,040039;12183,28027
27-09-2022;1.463,78;3647,290039;12139,67969
26-09-2022;1.458,70;3655,040039;12227,91992
23-09-2022;1.457,66;3693,22998;12284,19043
22-09-2022;1.483,27;3757,98999;12531,62988
21-09-2022;1.523,67;3789,929932;12767,15039
20-09-2022;1.506,33;3855,929932;12670,83008
19-09-2022;1.534,19;3899,889893;12803,24023
16-09-2022;1.545,21;3873,330078;12741,25977
15-09-2022;1.586,84;3901,350098;12956,66016
14-09-2022;1.617,56;3946,01001;13028
13-09-2022;1.628,00;3932,689941;13188,9502
12-09-2022;1.663,84;4110,410156;13402,26953
09-09-2022;1.649,62;4067,360107;13088,20996
08-09-2022;1.628,51;4006,179932;12904,32031
07-09-2022;1.607,92;3979,870117;12915,96973
06-09-2022;1.609,07;3908,189941;12871,44043
02-09-2022;1.630,74;3924,26001;13050,26953
01-09-2022;1.598,03;3966,850098;12630,23047
31-08-2022;1.652,65;3955;12834,95996
30-08-2022;1.655,85;3986,159912;12961,13965
29-08-2022;1.651,92;4030,610107;12892,99023
26-08-2022;1.694,49;4057,659912;12971,46973
25-08-2022;1.726,69;4199,120117;13271,95996
24-08-2022;1.714,50;4140,77002;13220,05957
23-08-2022;1.694,05;4128,72998;13194,23047
22-08-2022;1.716,02;4137,990234;13230,57031
19-08-2022;1.739,23;4228,47998;13544,51953
18-08-2022;1.725,76;4283,740234;13697,41016
17-08-2022;1.742,59;4274,040039;13626,70996
16-08-2022;1.736,32;4305,200195;13910,12012
15-08-2022;1.749,63;4297,140137;13816,61035
12-08-2022;1.733,11;4280,149902;13795,84961
11-08-2022;1.770,85;4207,27002;13694,50977
10-08-2022;1.759,50;4210,240234;13700,92969
09-08-2022;1.716,86;4122,470215;13534,96973
08-08-2022;1.726,60;4140,060059;13687,69043
05-08-2022;1.732,27;4145,189941;13573,92969
04-08-2022;1.769,14;4151,939941;13662,67969
03-08-2022;1.743,04;4155,169922;13587,55957
02-08-2022;1.764,80;4091,189941;13449,2002
01-08-2022;1.766,32;4118,629883;13479,62988
29-07-2022;1.770,61;4130,290039;13484,04981
28-07-2022;1.743,48;4072,429932;13282,11035
27-07-2022;1.694,13;4023,610107;13166,37988
26-07-2022;1.698,58;3921,050049;13096,92969
25-07-2022;1.693,23;3966,840088;13210,32031
22-07-2022;1.716,83;3961,629883;13253,67969
21-07-2022;1.697,51;3998,949951;13246,63965
20-07-2022;1.683,87;3959,899902;13281,98047
19-07-2022;1.685,07;3936,689941;13308,41016
18-07-2022;1.680,54;3830,850098;12959,80957
15-07-2022;1.647,32;3863,159912;12864,71973
14-07-2022;1.622,46;3790,379883;12519,66016
13-07-2022;1.643,89;3801,780029;12756,32031
12-07-2022;1.650,86;3818,800049;12905,48047
11-07-2022;1.650,88;3854,429932;12832,44043
08-07-2022;1.653,35;3899,379883;13015,23047
07-07-2022;1.635,87;3902,620117;12843,21973
06-07-2022;1.609,22;3845,080078;12594,51953
05-07-2022;1.596,03;3831,389893;12401,2002
01-07-2022;1.600,58;3825,330078;12813,03027
30-06-2022;1.574,67;3785,379883;12783,76953
29-06-2022;1.595,14;3818,830078;13003,34961
28-06-2022;1.609,08;3821,550049;13231,82031
27-06-2022;1.627,57;3900,110107;13186,07031
24-06-2022;1.603,56;3911,73999;13118,12988
23-06-2022;1.554,96;3795,72998;12912,58984
22-06-2022;1.565,41;3759,889893;13144,28027
21-06-2022;1.582,50;3764,790039;13292,40039
17-06-2022;1.524,70;3674,840088;13126,25977
16-06-2022;1.514,33;3666,77002;13038,49023
15-06-2022;1.569,10;3789,98999;13485,29004
14-06-2022;1.550,26;3735,47998;13304,38965
13-06-2022;1.579,71;3749,629883;13427,03027
10-06-2022;1.619,14;3900,860107;13761,83008
09-06-2022;1.651,14;4017,820068;14198,79981
08-06-2022;1.682,43;4115,77002;14445,99023
07-06-2022;1.697,82;4160,680176;14556,62012
03-06-2022;1.676,49;4108,540039;14460,08984
02-06-2022;1.669,04;4176,819824;14485,16992
01-06-2022;1.664,71;4101,22998;14340,46973
31-05-2022;1.682,19;4132,149902;14388,34961
25-05-2022;1.636,28;3978,72998;14007,92969
24-05-2022;1.632,96;3941,47998;13919,75
23-05-2022;1.648,74;3973,75;14175,40039
20-05-2022;1.653,96;3901,360107;13981,91016
19-05-2022;1.609,07;3900,790039;13882,29981
18-05-2022;1.628,51;3923,679932;14007,75977
17-05-2022;1.637,61;4088,850098;14185,94043
16-05-2022;1.609,77;4008,01001;13964,37988
12-05-2022;1.584,86;3930,080078;13739,63965
11-05-2022;1.591,41;3935,179932;13828,63965
10-05-2022;1.591,43;4001,050049;13534,74023
09-05-2022;1.579,15;3991,23999;13380,66992
06-05-2022;1.662,53;4123,339844;13674,29004
05-05-2022;1.720,90;4146,870117;13902,51953
04-05-2022;1.730,37;4300,169922;13970,82031
03-05-2022;1.732,02;4175,47998;14039,46973
02-05-2022;1.729,96;4155,379883;13939,07031
29-04-2022;1.764,64;4131,930176;14097,87988
28-04-2022;1.729,91;4287,5;13979,83984
27-04-2022;1.730,79;4183,959961;13793,94043
26-04-2022;1.715,00;4175,200195;13756,40039
25-04-2022;1.739,64;4296,120117;13924,16992
22-04-2022;1.753,70;4271,779785;14142,08984
21-04-2022;1.782,51;4393,660156;14502,41016
20-04-2022;1.797,93;4459,450195;14362,03027
19-04-2022;1.772,94;4462,209961;14153,45996
13-04-2022;1.752,08;4446,589844;14076,44043
12-04-2022;1.752,72;4397,450195;14124,9502
11-04-2022;1.770,71;4412,529785;14192,78027
08-04-2022;1.805,37;4488,279785;14283,66992
07-04-2022;1.801,75;4500,209961;14078,15039
06-04-2022;1.781,59;4481,149902;14151,69043
05-04-2022;1.818,02;4525,120117;14424,36035
04-04-2022;1.789,22;4582,640137;14518,16016
01-04-2022;1.802,81;4545,859863;14446,48047
31-03-2022;1.786,11;4530,410156;14414,75
30-03-2022;1.795,10;4602,450195;14606,04981
29-03-2022;1.771,53;4631,600098;14820,33008
28-03-2022;1.756,83;4575,52002;14417,37012
25-03-2022;1.725,24;4543,060059;14305,75977
24-03-2022;1.737,70;4520,160156;14273,79004
23-03-2022;1.766,43;4456,240234;14283,65039
22-03-2022;1.789,93;4511,609863;14473,2002
21-03-2022;1.803,00;4461,180176;14326,96973
18-03-2022;1.805,96;4463,120117;14413,08984
17-03-2022;1.792,75;4411,669922;14388,05957
16-03-2022;1.756,66;4357,859863;14440,74023
15-03-2022;1.713,38;4262,450195;13917,26953
14-03-2022;1.718,44;4173,109863;13929,11035
11-03-2022;1.704,23;4204,310059;13628,11035
10-03-2022;1.690,50;4259,52002;13442,09961
09-03-2022;1.716,80;4277,879883;13847,92969
08-03-2022;1.693,03;4170,700195;12831,50977
07-03-2022;1.696,46;4201,089844;12834,65039
04-03-2022;1.683,05;4328,870117;13094,54004
03-03-2022;1.714,67;4363,490234;13698,40039
02-03-2022;1.721,69;4386,540039;14000,11035
01-03-2022;1.752,02;4306,259766;13904,84961
28-02-2022;1.764,81;4373,939941;14461,01953
25-02-2022;1.713,15;4384,649902;14567,23047
24-02-2022;1.657,30;4288,700195;14052,09961
23-02-2022;1.651,42;4225,5;14631,36035
22-02-2022;1.661,31;4304,759766;14693
18-02-2022;1.684,91;4348,870117;15042,50977
17-02-2022;1.719,43;4380,259766;15267,62988
16-02-2022;1.738,19;4475,009766;15396,07031
15-02-2022;1.742,14;4471,069824;15412,70996
14-02-2022;1.692,87;4401,669922;15113,96973
11-02-2022;1.733,74;4418,640137;15425,12012
10-02-2022;1.755,06;4504,080078;15490,44043
